MsgID.GLOBAL_POSITION,0.0000000,-122.3974175,37.7934159,58.9660000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,362.9110000,103.9915466,2.8860145,-58.9671516
MsgID.LOCAL_VELOCITY,362.9110000,-0.0051057,0.0000315,0.0007871
MsgID.STATE,0.0000000,True,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974155,37.7934161,58.9950000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,363.1630000,104.0208206,3.0619013,-58.9950562
MsgID.LOCAL_VELOCITY,363.1630000,-0.0056891,0.0004622,0.0006248
MsgID.GLOBAL_POSITION,0.0000000,-122.3974156,37.7934171,59.0380000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,363.4140000,104.1251068,3.0572114,-59.0381699
MsgID.LOCAL_VELOCITY,363.4140000,-0.0038807,0.0011473,0.0006786
MsgID.GLOBAL_POSITION,0.0000000,-122.3974172,37.7934156,59.0910000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,363.6640000,103.9590607,2.9143369,-59.0916862
MsgID.LOCAL_VELOCITY,363.6640000,-0.0042815,-0.0002637,-0.0002214
MsgID.GLOBAL_POSITION,0.0000000,-122.3974169,37.7934152,59.1500000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,363.9150000,103.9159088,2.9375913,-59.1506729
MsgID.LOCAL_VELOCITY,363.9150000,-0.0057059,0.0004089,0.0005785
MsgID.STATE,0.0000000,True,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974187,37.7934172,59.2040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,364.1720000,104.1388702,2.7814395,-59.2043762
MsgID.LOCAL_VELOCITY,364.1720000,-0.0050875,0.0001921,0.0007845
MsgID.GLOBAL_POSITION,0.0000000,-122.3974180,37.7934158,59.2320000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,364.4270000,103.9841537,2.8377738,-59.2328224
MsgID.LOCAL_VELOCITY,364.4270000,-0.0057025,0.0000955,0.0006532
MsgID.GLOBAL_POSITION,0.0000000,-122.3974172,37.7934160,59.2370000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,364.6790000,104.0047684,2.9110456,-59.2374878
MsgID.LOCAL_VELOCITY,364.6790000,-0.0056922,0.0003191,0.0007844
MsgID.GLOBAL_POSITION,0.0000000,-122.3974172,37.7934167,59.2200000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,364.9290000,104.0812531,2.9122486,-59.2206421
MsgID.LOCAL_VELOCITY,364.9290000,-0.0057413,0.0003991,0.0005793
MsgID.STATE,0.0000000,True,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974164,37.7934163,59.1890000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,365.1850000,104.0334091,2.9831724,-59.1895638
MsgID.LOCAL_VELOCITY,365.1850000,-0.0056158,0.0005479,0.0005310
MsgID.GLOBAL_POSITION,0.0000000,-122.3974152,37.7934145,59.1300000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,365.4390000,103.8439636,3.0869577,-59.1300468
MsgID.LOCAL_VELOCITY,365.4390000,-0.0052160,0.0001811,0.0010609
MsgID.GLOBAL_POSITION,0.0000000,-122.3974160,37.7934153,59.0990000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
